书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
网游之练级专家,发飙的蜗牛,完本,游戏,48.32,502.47,35.67,8.7,133,    Lv.5 ,9,1434.39万,2338,91,0,0
我的小人国,青衫小白,连载,科幻,149.86,399.79,35.65,8.9,248,    Lv.5 ,1,312.66万,687,38,28,1
网游之死亡阴影,拼命狐狸,连载,游戏,250.61,85.44,35.62,7.2,1,    Lv.1 ,2,126.58万,408,88,0,0
英雄监狱,黄华溢,连载,游戏,235.38,1379.2,35.59,9,639,    Lv.5 ,6,626.79万,1507,92,64,0
寂静王冠,风月,完本,奇幻,96.19,655.99,35.58,9,227,    Lv.4 ,4,627.11万,1299,89,27,0
在漫威当超级英雄的那些年,一吨大苹果,连载,都市,272.5,799.62,35.58,8.7,262,    Lv.5 ,2,527.07万,881,91,25,0
元气少年,张君宝,完本,都市,361.12,97.87,35.5,8.5,100,    Lv.5 ,4,483.82万,1172,121,2,0
小亨传说,黯然销魂,完本,都市,211.74,84.4,35.49,7.2,8,    Lv.3 ,13,1879.03万,3469,90,0,0
名侦探世界里的巫师,追梦人Love平,连载,二次元,225.68,411.12,35.44,9,537,    Lv.5 ,4,1199.09万,2928,91,120,2
盗墓笔记,南派三叔,完本,悬疑灵异,72.1,268.94,35.36,9.2,392,    Lv.5 ,4,181.58万,216,39,72,0
异界全职业大师,庄毕凡,完本,游戏,473.51,67.32,35.29,8.9,1318,    Lv.5 ,2,990.70万,1792,90,4,0
混沌雷修,写字板,完本,仙侠,114.21,515.04,35.23,8.8,736,    白金 ,7,2189.42万,3829,91,0,0
炒钱高手在花都,月关,完本,都市,353.44,42.98,35.19,9,287,    Lv.5 ,7,2034.71万,3062,91,0,0
很纯很暧昧,鱼人二代,完本,都市,569.69,138.02,35.14,8.7,768,    白金 ,6,3231.23万,4149,92,51,0
汉末天子,王不过霸,完本,历史,105.54,26.57,35.08,8.7,140,    Lv.5 ,9,958.45万,1390,91,6,0
还真道,鲁西平,完本,仙侠,648.73,146.48,35.06,8.6,31,    Lv.4 ,3,683.62万,2119,38,0,0
环城术士,黑袍雷斯林,连载,科幻,71.8,111.29,35.06,8.7,264,    Lv.5 ,4,679.49万,1322,38,784,0
横刀立马,任怨,完本,玄幻,254.49,100.01,35.04,8.7,44,    Lv.5 ,5,1123.09万,3328,38,0,0
召唤千军,高森,完本,玄幻,283.29,86.56,34.91,8.9,83,    Lv.5 ,8,1118.16万,2671,121,2,0
走进修仙,吾道长不孤,完本,仙侠,355.26,756.17,34.79,9.3,424,    Lv.5 ,1,677.31万,1266,71,90,0
龙战星野,血红,完本,仙侠,141.65,766.97,34.73,8.4,7,    白金 ,12,3143.95万,4042,38,0,0
