书名,作者,状态,种类,总字数,总点击,总推荐,书评分,评价人数,作者等级,作品数,总创作字数,总创作天数,作品荣誉,本月票数,打赏数
时间都去哪儿了,独孤晨远,完本,短篇,266.33,1831.91,2056.25,2,0,    Lv.1 ,9,58.65万,110,36,0,0
我的美女公寓,船长,完本,都市,369.04,1934.13,1693.51,8.9,192,    Lv.5 ,3,452.64万,837,38,10,0
极品仙师,曾经拥有的方向感,完本,都市,172.7,1197.27,1457.79,8.9,75,    大神 ,7,1796.71万,3234,90,15,0
唐门高手在异世,莫默,完本,玄幻,744.75,10359.58,1392.21,8.9,754,    大神 ,4,1988.31万,3981,92,21,0
天幕神捕,东城令,完本,玄幻,2019.35,6520.26,1341.62,8.4,137,    Lv.5 ,5,533.06万,789,91,14,0
院长驾到,蝙蝠饭团,连载,游戏,91.49,1799.57,1269.35,9.1,484,    Lv.4 ,1,273.66万,1062,90,3,0
空想舰娘,欧洲提督,连载,科幻,184.08,516.47,1258.59,8.9,158,    Lv.3 ,1,112.17万,257,90,1,0
妖孽学霸,维斯特帕列,完本,都市,221.41,1095.32,1220.48,9,150,    Lv.5 ,9,854.57万,1592,91,3,0
火影之恶魔法则,很龙很傲天,完本,二次元,284.97,1282.38,1113.39,8.5,117,    Lv.5 ,1,147.50万,254,65,10,0
网络里杀手,浩瀚馨语,完本,短篇,540.3,880.34,932.71,2,0,    Lv.1 ,17,976.27万,1756,36,0,0
夜寰,守着猫睡觉的鱼,完本,仙侠,360.15,781.08,914.23,9.4,107,    Lv.1 ,2,454.80万,1416,37,0,0
白金农民麻烦哥,麻烦,完本,游戏,204.25,493.66,891.32,8.8,220,    Lv.5 ,9,1301.73万,3494,90,0,0
败家子,平凡心,完本,都市,368.58,760.37,886.49,8.4,2,    Lv.5 ,10,2737.50万,2829,39,0,0
英雄联盟之灾变时代,会说话的肘子,完本,游戏,420.43,1128.84,833.73,9.1,98,    大神 ,3,591.16万,982,91,24,0
箭魔,明月夜色,连载,玄幻,496.03,3325.52,804.97,8.4,64,    Lv.5 ,7,1694.61万,2646,68,124,1
城堡之心,慎独行,完本,奇幻,334.1,9496.7,773.37,8.9,461,    Lv.3 ,3,552.84万,1547,90,1,0
靖难天下,屋顶骑兵,完本,历史,551.29,1546.58,764.43,8.4,3,    Lv.1 ,3,145.92万,393,37,0,0
诛明,特别白,连载,历史,339.19,523.97,759.11,8.9,111,    大神 ,7,1624.00万,3097,64,37,0
大艺术家,七七家d猫猫,完本,都市,477.04,8535.44,751.2,9,398,    Lv.5 ,8,3098.82万,3720,90,0,0
搬山,豆子惹的祸,完本,仙侠,486.66,2946.62,731.12,8.9,417,    大神 ,5,1132.80万,1953,90,14,0
文娱的良心,后来者,完本,都市,83.12,529.05,704.36,8.6,189,    Lv.4 ,3,229.22万,648,38,5,0
野性为王,过宽,连载,都市,657.34,3050.18,673.03,8.4,96,    Lv.4 ,2,276.43万,830,38,276,1
仙域科技霸主,试剑天涯,完本,仙侠,280.38,5022.83,672.57,8.9,401,    Lv.4 ,8,1582.37万,2423,38,25,0
大汉之帝国再起,白军皇,完本,历史,525.76,15212.4,672.21,9,38,    Lv.1 ,2,165.39万,355,90,2,1
灭尽尘埃,奥尔良烤鲟鱼堡,连载,玄幻,263.53,2535.74,622.18,8.9,470,    大神 ,4,993.04万,2177,90,0,0
通冥,八分银,连载,玄幻,146.22,2945.11,577.87,8.4,4,    Lv.1 ,1,98.48万,277,36,1,0
神级医院,三舍堂,完本,科幻,298.96,6518.77,573.51,8.9,17,    Lv.4 ,11,511.50万,959,36,0,0
革命吧女神,草上匪,连载,奇幻,299.6,5325.47,572.8,8.6,146,    Lv.5 ,4,1034.07万,1553,38,332,2
步步惊唐,何昊远,完本,历史,243.85,3430.78,561.92,9.4,80,    Lv.5 ,5,889.91万,1784,91,0,0
东京道士,明月子时,完本,仙侠,251.38,283.7,559.27,9,180,    Lv.3 ,4,501.85万,1071,90,0,0
玄镜司,剑舞秀,完本,玄幻,632.32,6387.93,553.95,9.2,53,    Lv.5 ,4,948.85万,1699,89,0,0
无双轮回,兴霸天,完本,科幻,562.38,694.55,549.66,9.2,146,    Lv.4 ,7,1184.03万,2032,90,2,0
星际间谍,黯然销魂,完本,科幻,523.34,669.27,547.55,9.2,12,    Lv.3 ,13,1879.03万,3469,90,0,0
王朝教父,临河羡鱼翁,完本,体育,417.52,6236.07,535.04,9.1,334,    Lv.4 ,3,967.44万,912,69,5,0
焚尽八荒,河书,连载,玄幻,192.19,1415.93,529.18,8.6,158,    Lv.1 ,3,340.39万,760,89,0,0
禁血红莲,猪红血,连载,玄幻,367.67,3852.92,529.03,2,1,    Lv.1 ,1,134.12万,268,69,2,0
甲武圣徒,石三,完本,科幻,220.93,473.87,526.25,8.5,24,    白金 ,18,2678.53万,4307,90,0,0
诸天十道,黯然销魂,完本,玄幻,389.44,1982.98,514.38,8.6,422,    Lv.3 ,13,1879.03万,3469,90,0,0
烂片之王,何未满,完本,都市,535.01,2483.94,510.03,8.7,100,    Lv.4 ,3,421.39万,957,91,7,1
军神传,sogland,连载,历史,303.79,2688.39,502.43,7.4,5,    Lv.1 ,1,95.50万,220,36,0,0
好莱坞制作,白色十三号,完本,都市,259.67,3564.56,499.53,9.1,150,    Lv.5 ,6,950.32万,1753,91,7,0
骨灵,明天,连载,玄幻,238.88,550.9,499.02,8,8,    Lv.1 ,1,65.59万,159,37,1,0
三国好孩子,吴老狼,完本,历史,98.41,813.38,493.2,9.1,334,    Lv.5 ,7,1764.77万,3132,91,8,0
蜀山新剑侠,云墨月,完本,仙侠,179.04,410.91,485.19,8.8,17,    Lv.4 ,6,311.28万,1599,90,0,0
在下慎二，有何贵干,烂衣奸少,完本,二次元,86.62,173.54,476.95,8.6,161,    Lv.4 ,4,600.93万,1550,69,13,0
我的女友是仙子,先飞看刀,完本,都市,304.27,2960.89,467.79,9.2,113,    Lv.4 ,5,752.97万,2410,69,0,0
全能奇才,九指仙尊,连载,都市,222.11,577.18,456.99,9,671,    Lv.5 ,3,1163.30万,1676,70,4,0
宋医,沐轶,完本,历史,182.43,669.12,451.04,8.5,351,    大神 ,17,1849.30万,3258,92,2,0
红烧大唐,英年早肥,完本,历史,494.75,2151.93,447.48,8.5,14,    Lv.4 ,4,251.00万,907,89,0,0
机甲农民,木汤,完本,科幻,215.54,1472.76,447.46,7.2,9,    Lv.2 ,5,582.93万,1301,69,2,0
文娱复兴,葆星,连载,都市,263.73,738.53,445.58,8.4,153,    Lv.5 ,6,1392.87万,2146,39,211,0
青城道长,虫梦,完本,仙侠,184.82,2572.14,445.51,8.8,88,    Lv.4 ,4,615.60万,1196,65,8,0
英雄联盟之巅峰王座,Iced子夜,完本,游戏,377.61,886.91,444.98,8.7,58,    Lv.5 ,2,582.86万,1317,89,6,0
诡秘之主,爱潜水的乌贼,连载,玄幻,374.82,3412.18,434.5,9.2,2165,    白金 ,6,1523.31万,2350,344,52868,113
火影之救世主,范仪同,连载,二次元,234.86,464.92,432.75,8.8,132,    Lv.4 ,1,237.28万,640,39,17,0
网游家庭之解迷专家,哈贝达斯,完本,游戏,273.07,2254.63,422.54,2,1,    Lv.1 ,4,210.29万,642,36,0,0
逆臣,虫豸,连载,历史,298.22,5001.18,421.45,8.7,164,    Lv.4 ,3,722.22万,1364,89,2,0
修真种植大户,拭剑.QD,连载,仙侠,319.47,2158.85,415.83,8.6,84,    Lv.1 ,2,140.40万,628,88,0,0
最强厨霸,大凉皮,完本,都市,475.68,1199.64,413.17,9.3,30,    Lv.4 ,4,301.67万,592,92,2,0
汉末召虎,秋风知了,连载,历史,336.36,831.03,410.61,9.3,66,    Lv.4 ,1,176.66万,446,90,1,0
重生之机甲时代,键盘的灰,完本,科幻,237.97,1726.63,401.64,2,1,    Lv.4 ,4,423.08万,1324,36,0,0
文坛救世主,卖萌无敌小小宝,连载,都市,64.53,1322.23,401.37,8.6,146,    Lv.5 ,3,756.19万,1367,39,346,3
在日本渔村的日子,孙帅出口成诗,完本,都市,384.25,1258.86,398.56,8.6,75,    Lv.5 ,8,595.01万,1169,90,2,0
虚拟战士,漂浮物,完本,科幻,280.01,2535.23,396.92,8.5,29,    Lv.1 ,2,121.66万,302,70,0,0
驭房有术,铁锁,连载,悬疑灵异,140.42,1973.45,391.87,8.5,90,    大神 ,3,916.12万,1574,90,585,0
天行战记,七十二编,连载,玄幻,650.93,4240.6,384.2,8.6,156,    白金 ,3,830.67万,1440,39,1913,1
鬼雨仙踪,鬼雨,完本,仙侠,292.07,305.83,383.88,9.3,23,    Lv.4 ,4,563.68万,1250,37,0,0
金庸绝学异世横行,御剑斋,连载,玄幻,143.89,1064.6,382.02,8.8,283,    Lv.5 ,4,642.07万,1234,90,69,1
叩仙门,石三,完本,仙侠,255.41,1039.49,379.06,8.7,290,    白金 ,18,2678.53万,4307,90,0,0
硅谷大帝,百刹,完本,都市,202.63,5730.19,378.41,8.9,88,    Lv.5 ,5,399.56万,913,90,3,0
星界游民,晨星LL,完本,科幻,410.67,2296.12,370.48,9,137,    Lv.5 ,3,676.89万,1298,38,6,0
双剑,虾写,完本,游戏,450.73,304.49,367.73,9,387,    Lv.5 ,13,1764.62万,3571,68,0,0
英雄无敌之最强驯兽师,苦艾酒,完本,游戏,477.32,3099.56,367.07,8.7,17,    Lv.1 ,4,226.66万,720,89,0,0
别回头你身后有鬼,帅天下,完本,悬疑灵异,411.86,832.52,358.84,7.2,3,    Lv.1 ,3,77.09万,443,36,0,0
破法之眼,吴杰超,完本,玄幻,489.55,568.79,353.17,9,152,    Lv.5 ,4,1020.71万,2263,90,10,0
仙王,寂寞读南华,完本,仙侠,108.77,196.71,351.2,9,306,    大神 ,9,1009.70万,2438,92,3,0
能穿越的修行者,神秘男人,完本,仙侠,392.41,2534.89,348.33,8.5,156,    Lv.4 ,4,443.12万,735,38,3,0
混在异界当作家,不如尬舞,连载,二次元,209.19,2275.69,344.14,8.4,292,    Lv.2 ,1,27.02万,77,37,0,0
大唐第一庄,晨风天堂,完本,历史,285.89,3074.68,339.34,9,433,    Lv.5 ,6,953.12万,1595,91,13,0
我修的可能是假仙,明月地上霜,连载,二次元,54.14,250.8,339.21,9,429,    Lv.5 ,2,406.80万,753,41,1359,3
海盗,石三,完本,玄幻,378.65,2250.72,334.27,7.3,1,    白金 ,18,2678.53万,4307,36,0,0
穿入聊斋,南朝陈,完本,仙侠,456.1,435.75,328.29,8.8,446,    大神 ,5,425.97万,1197,89,0,0
异世之火德星君,甘洪鸣,连载,玄幻,455.29,2018.22,324.77,0,0,    Lv.1 ,1,78.06万,95,69,0,0
敛财专家,大秦骑兵,完本,仙侠,669.01,1702.95,322.86,8.5,22,    Lv.1 ,4,827.82万,3913,69,0,0
异界之书,宝月流光,完本,游戏,199.59,1761.83,320.24,8.7,167,    Lv.4 ,5,423.30万,893,90,1,0
最强新手剑,祈言誓约,完本,游戏,245.54,426,317.37,9,92,    Lv.4 ,5,299.16万,1395,88,3,0
盗逍遥,四海,暂停,游戏,77.34,128.05,316.18,8.4,2,    Lv.1 ,1,66.59万,397,36,0,0
吞噬神徒,油炸包子,完本,玄幻,350.1,1995.08,305.65,2,1,    Lv.3 ,6,820.14万,1340,89,0,0
疯狂的杠杆,墨石163,连载,短篇,251.54,513.17,298.85,0,0,    Lv.1 ,2,62.20万,712,36,0,0
宠物魔术师,大爱先生,完本,都市,444.89,1704.13,298.68,0,0,    Lv.3 ,1,146.33万,428,91,0,0
剑娘,沧澜波涛短,完本,游戏,263.44,1886.83,297.97,8.8,145,    Lv.5 ,4,1141.05万,1415,69,19,0
华娱之黄金年代,老徐牧羊,完本,都市,385.79,1225.4,289.79,8.5,125,    Lv.5 ,6,809.24万,1139,39,5,0
三国求生记,水瓶座·杰,完本,历史,191.63,1688.67,288.81,0,0,    Lv.1 ,3,771.06万,1680,89,0,0
异界重生之剑皇,雨辰宇,完本,玄幻,617.83,576.92,288.16,8.5,12,    Lv.3 ,5,769.99万,1553,68,0,0
星之海洋,charlesp,完本,科幻,654.37,590.77,284.19,9.9,32,    Lv.1 ,1,160.87万,325,38,1,0
重生美国当大师,慕容鹉,完本,历史,353.73,3529.63,282.15,8.5,132,    Lv.3 ,3,183.31万,755,37,2,0
霸武神王,乌山云雨,连载,玄幻,240.8,319.14,281.73,8.6,137,    大神 ,6,1407.40万,2589,37,0,0
无限残说,黑籍,完本,科幻,255.91,1611.93,277.91,8.6,69,    Lv.3 ,4,595.86万,1510,89,0,0
韩娱之魔女孝渊,九翅,连载,都市,163.46,1919.06,277.87,9.9,29,    Lv.1 ,2,334.80万,1008,37,20,1
我是蒋干,yuyuwin,连载,历史,417.34,1685.36,275.98,0,0,    Lv.1 ,1,87.39万,306,38,0,0
神剑永恒,雾外江山,完本,玄幻,894.32,822.82,274.2,9,463,    Lv.5 ,4,1203.87万,2259,92,0,0
魔机,8难,完本,玄幻,698.26,358.7,270.8,7.2,6,    大神 ,9,1716.38万,3171,91,0,0
明吏,屋顶骑兵,连载,历史,334.95,401.52,270.14,7.2,1,    Lv.1 ,3,145.92万,393,88,0,0
放开那个女皇,发情的野猪,连载,历史,443.36,536.06,269.53,8.4,68,    Lv.3 ,2,199.72万,426,37,0,0
红楼名侦探,嗷世巅锋,连载,历史,409.09,263.85,267.49,8.9,121,    Lv.5 ,3,332.79万,768,38,527,1
传奇缔造者,临河羡鱼翁,完本,体育,328.25,1981.62,261.81,9.3,378,    Lv.4 ,3,967.44万,912,90,15,0
海贼王之剑豪之心,那一只蚊子,完本,二次元,357.18,570.11,258.95,8.9,329,    Lv.5 ,2,602.04万,873,39,33,0
动画世界大冒险,穷四,完本,科幻,831.8,3527.78,258.77,8.5,136,    Lv.5 ,7,1443.74万,2146,65,6,0
王牌刺客,一目尽天涯,连载,游戏,684.33,282.82,257.75,9.1,37,    Lv.4 ,3,371.69万,934,91,2,0
大唐贞观第一纨绔,危险的世界,完本,历史,314.14,216.14,256.34,8.4,119,    Lv.5 ,2,589.84万,866,39,99,0
女装文艺人生,羽林都督,完本,二次元,202.05,514.54,255.64,8.6,157,    Lv.4 ,4,286.25万,734,37,2,0
重生之商霸两界,520农民,完本,都市,392.85,6729.01,249.15,8.9,86,    Lv.3 ,2,168.89万,339,37,1,0
死城,金庸隐徒风笑天,完本,玄幻,675.67,2541.29,246.98,8.6,30,    Lv.1 ,1,74.92万,1118,67,0,0
殖装,铅笔刀,完本,科幻,488.57,247.42,246.39,9.1,376,    Lv.4 ,5,796.97万,2706,90,16,0
征服天国,实心熊,完本,历史,615.61,511.78,246.32,8.9,231,    Lv.3 ,2,849.45万,1621,69,3,0
末世狩猎者,黑天魔神,完本,科幻,475.51,1399.6,245.95,8.4,5,    Lv.5 ,5,452.93万,3873,38,0,0
生死试练,红花下的草草,完本,游戏,263.47,3548.07,243.37,8.4,1,    Lv.1 ,7,226.35万,707,36,0,0
都市模拟人生,明渐,完本,都市,367.86,1870.74,241.87,8.5,192,    Lv.5 ,3,412.47万,1186,66,30,0
农夫三国,苍山虎,连载,历史,190.56,1729.04,241.01,8.9,140,    Lv.1 ,1,122.01万,334,89,2,0
史上最强狗熊系统,七乐,完本,科幻,253.97,320.19,240.6,8.4,190,    Lv.5 ,5,516.56万,968,39,26,0
无敌黑枪,边城 浪子,完本,游戏,205.29,377.32,240.41,8.8,314,    Lv.3 ,6,950.54万,1751,89,2,0
巫女桔梗酱的现代除魔生活,黑兽,连载,二次元,152.22,2926.24,233.6,8.7,138,    Lv.3 ,3,168.58万,611,36,32,0
觅仙路,何不语,完本,仙侠,259.89,3059.56,232.47,9,596,    Lv.4 ,4,969.01万,1642,91,16,0
我就是太平洋,敢为,完本,都市,477.48,3431.13,228.39,9.1,96,    Lv.4 ,2,597.46万,1212,90,12,0
未来宠物店,维斯特帕列,完本,科幻,291.33,2444.39,226.87,8.6,107,    Lv.5 ,9,854.57万,1592,91,19,0
灵魂导游,顾大石,完本,都市,327.76,964.49,226.12,8.6,74,    Lv.5 ,6,579.62万,1433,39,36,0
漫步在武侠世界,四咸,连载,科幻,1712.74,950.78,220.53,8.9,331,    Lv.3 ,3,343.83万,826,90,167,1
诛天图,零下九十度,完本,玄幻,161.14,1555.28,217.38,9.1,93,    大神 ,5,973.81万,1673,91,5,0
武侠重生,大帅匪,完本,游戏,688.72,559.49,217.18,8.8,90,    Lv.4 ,2,178.68万,802,91,3,0
红顶位面商人,雾外江山,完本,玄幻,531.99,754.47,217.02,9,40,    Lv.5 ,4,1203.87万,2259,67,0,0
邪意未来,天堂羽,完本,都市,956.15,583.37,216.6,8.8,16,    大神 ,9,1547.63万,3730,90,0,0
随身带着女神皇,火中物,完本,都市,411.75,1497.58,206.18,9.2,76,    Lv.5 ,5,732.86万,2193,69,0,0
黑暗文明,古羲,完本,科幻,714.9,306.16,205.36,8.8,448,    Lv.5 ,6,1118.55万,2576,91,9,0
逍遥渔夫,醛石,完本,都市,515.67,458.32,201.19,9.1,157,    Lv.5 ,9,1496.14万,2028,91,7,0
最强神话帝皇,任我笑,完本,仙侠,395.6,145.41,200.97,8.5,160,    Lv.5 ,3,619.59万,820,39,125,0
道藏美利坚,半仙算命,完本,都市,441.59,793.97,199.76,8.9,247,    Lv.4 ,9,1062.36万,2215,91,1,0
无限十万年,无量摩诃,完本,科幻,142.3,2050.53,198.17,8.5,157,    Lv.4 ,6,673.08万,968,38,8,0
穿越者纵横动漫世界,龙之宫,连载,二次元,55.58,1256.68,197.04,8.5,76,    Lv.3 ,5,726.87万,1676,37,70,0
厚黑救世主,歪茶壶,连载,都市,634.35,275.37,196.31,3.9,7,    Lv.1 ,2,86.25万,220,37,0,0
异界超级无敌光环战士,一株小草啊,完本,游戏,120.32,1059.59,193.52,8.5,57,    Lv.1 ,1,189.23万,675,90,0,0
开局一个大天使,正北方,连载,游戏,347.33,465.08,190.75,8.5,196,    Lv.4 ,2,303.74万,651,38,586,1
生化之我是丧尸,看电视吃瓜子,完本,科幻,583.86,983.56,189.54,7.2,2,    Lv.1 ,1,85.18万,136,89,0,0
修真界败类,跃千愁,完本,仙侠,380.71,497.08,189.51,8.9,670,    大神 ,3,1530.00万,3185,70,46,0
堆月箫,以神之手,连载,武侠,437.07,698.38,184.61,8.7,169,    Lv.3 ,1,127.75万,316,38,0,2
超级师傅,胜己,完本,仙侠,151.4,1247.86,184.3,8.6,31,    白金 ,10,2228.23万,3306,90,0,0
真人美化系统,李弦原,连载,都市,201.31,922.02,183.82,8.6,669,    Lv.5 ,1,150.22万,389,40,0,0
黄金牧场,卖萌无敌小小宝,完本,都市,631.13,287.85,182.97,9.1,101,    Lv.5 ,3,756.19万,1367,90,8,0
重生之绝色亡灵法师,一窍不通,连载,二次元,233.59,534.37,182.11,8.9,40,    Lv.1 ,1,47.78万,182,36,1,0
无限动漫录,晕血的羔羊,完本,科幻,142.48,391.4,180.06,9.1,221,    Lv.4 ,2,911.18万,1345,91,4,0
天朝上国,阿菜,完本,游戏,65.03,2219.89,179.84,2,0,    Lv.1 ,1,78.23万,205,37,0,0
帝国雄心,天空之承,完本,历史,335.39,131.56,179.82,8.7,363,    Lv.4 ,6,1151.41万,2985,91,6,0
大明武夫,特别白,完本,历史,188.5,489.01,179.64,9.2,114,    大神 ,7,1624.00万,3097,70,27,0
永恒之心,快餐店,完本,玄幻,261.16,1845.7,176.34,8.8,62,    大神 ,6,2003.01万,3295,65,27,0
图腾,油炸包子,完本,玄幻,445.27,1613.17,175.49,8.6,206,    Lv.3 ,6,820.14万,1340,89,0,0
废土,黑天魔神,完本,科幻,332.06,46.18,171.83,8.8,463,    Lv.5 ,5,452.93万,3873,90,0,0
功夫圣医,天下青空,连载,都市,125.25,1135.39,171.02,9,390,    大神 ,3,659.62万,1307,40,5,0
法师故事,索斯,完本,奇幻,242.55,926.71,171,8.4,2,    Lv.5 ,7,802.60万,1393,38,0,0
隋末逐鹿记,梧桐疏影,完本,历史,457.91,273.89,169.87,7.2,6,    Lv.1 ,4,285.96万,813,90,0,0
神魔供应商,何处不染尘,完本,玄幻,952.02,340.89,167.91,8.7,118,    Lv.5 ,6,723.57万,909,39,28,0
全能闲人,光暗之心,完本,都市,349.31,896.8,167.21,9,483,    大神 ,4,537.27万,1186,91,10,0
网游之剧毒,黑乎乎的老妖,完本,游戏,169.1,1732.55,166.41,9,621,    Lv.5 ,6,880.62万,1472,91,4,0
光脑武尊,晚间八点档,完本,科幻,341.78,1280.08,165.42,8.6,64,    Lv.5 ,4,877.48万,1530,89,8,0
中华武将召唤系统,酸奶酪,完本,军事,378.07,1192.9,165.35,8.4,76,    Lv.5 ,2,330.65万,1458,89,7,0
天外重生者,老黑怪,连载,都市,440.68,481.9,164.98,8.8,62,    Lv.4 ,5,210.16万,647,69,0,0
极道骑士,银霜骑士,完本,奇幻,339.19,236.32,164.97,8.5,150,    Lv.5 ,2,280.21万,507,38,12,0
网游之紫风传说,钧申,完本,游戏,391.72,1864.13,164.71,2,0,    Lv.3 ,4,210.88万,981,68,0,0
帝国进化,别叫我上帝,完本,科幻,259.82,120.14,164.59,7.2,7,    Lv.3 ,5,393.02万,955,68,1,0
拳罡,特别白,完本,都市,276.5,2291.52,163.7,2,0,    大神 ,7,1624.00万,3097,89,0,0
韩娱之名侦探,有鱼的天空,完本,都市,575.88,841.51,163.6,9.3,40,    Lv.3 ,5,689.59万,1863,90,0,0
终极传承,雨辰宇,完本,玄幻,300.78,224.06,162.95,8.5,46,    Lv.3 ,5,769.99万,1553,91,0,0
大魔法师都市游,鱼龙,完本,都市,400.49,808.23,162.72,0,0,    Lv.2 ,1,312.06万,3035,68,0,0
恋战星梦,韩错,完本,都市,265.71,2108.68,162.4,9.2,328,    Lv.4 ,3,1535.38万,1403,66,6,0
漂流王,广林,完本,科幻,296.28,1403.34,161.96,0,0,    Lv.1 ,4,419.18万,1014,90,5,0
刀碎星河,猪小小,连载,科幻,259.74,2470.24,160.93,9.2,56,    Lv.4 ,4,1411.90万,2833,90,110,3
鹰扬拜占庭,幸运的苏拉,完本,历史,558.07,1177.07,160.74,9.2,91,    Lv.4 ,2,517.18万,1775,89,5,0
神豪无极限,偷名,完本,都市,315.95,726.78,159.17,9.4,6711,    Lv.5 ,3,291.48万,605,40,24,1
读档九八,三年不起,完本,都市,513.07,381.92,157.17,8.9,96,    Lv.5 ,2,329.72万,655,90,5,0
江湖我独行,心之弈剑,完本,游戏,371.21,1650.27,156.36,9,425,    Lv.4 ,5,438.10万,764,91,2,0
随身带着异形王后,龙青衫,完本,玄幻,588.21,375.85,155.27,8.6,321,    Lv.3 ,2,1135.89万,2408,90,1,0
最后的地球公民,须问天,完本,科幻,149.11,441.1,154.96,7.2,5,    Lv.1 ,1,47.69万,120,64,0,0
穿越诸天万界,天帝大人,完本,武侠,142.25,1616.58,154.35,8.4,154,    Lv.4 ,2,237.19万,1110,91,12,0
我回到了清朝,hanbingm,连载,历史,364.75,110.11,153.89,7.3,1,    Lv.1 ,1,57.19万,142,37,0,0
黄龙真人异界游,神见,完本,玄幻,209.81,1433.61,153.61,8.7,424,    Lv.5 ,3,1174.32万,2800,38,11,0
遮天之万古独尊,星之煌,完本,二次元,489.7,750.87,153.15,8.9,136,    Lv.4 ,3,365.39万,881,37,2,0
不朽丹神,胜己,完本,仙侠,141.5,773.92,150.2,9.1,541,    白金 ,10,2228.23万,3306,91,12,0
站在食物链顶端的男人,大笨淡,连载,科幻,410.49,3116.97,148.58,8.5,12,    Lv.4 ,3,333.43万,601,91,1,0
梦幻空间,玄雨,完本,玄幻,384.16,160.59,146.64,7.2,9,    Lv.5 ,7,1273.89万,1938,36,0,0
穿越诸天当邪神,钦定,完本,玄幻,315.53,1603.87,146.5,8.6,229,    Lv.4 ,2,220.70万,777,90,16,0
末世之深渊召唤师,凉心未暖,连载,科幻,308.69,1058.89,145.48,8.5,252,    Lv.5 ,2,293.76万,860,39,119,0
尸身密码,赤蝶飞飞,完本,短篇,978.6,1603.6,145.45,7.2,2,    Lv.1 ,2,53.99万,318,36,0,0
无限西游,耍耍二郎,连载,游戏,112.81,1224.53,144.82,9.2,77,    Lv.2 ,1,163.43万,356,89,2,0
位面审判者,撞破南墙,连载,科幻,498.63,380.41,144.36,9.1,246,    Lv.5 ,7,1709.05万,4475,89,0,0
重生之玩物人生,尝谕,完本,都市,193.65,280.08,143.41,8.7,404,    白金 ,3,233.21万,2667,92,0,0
网游之混沌初开,泡菜胡萝卜,完本,游戏,244.36,198.42,141.38,8.5,15,    Lv.1 ,5,678.06万,1400,90,0,0
海贼王之美食系统,听涛公子,完本,二次元,525.91,2021.22,141.18,8.6,57,    Lv.4 ,2,144.38万,350,89,2,0
大唐小郎中,沐轶,完本,历史,927.93,706.02,141.15,8.6,498,    大神 ,17,1849.30万,3258,90,3,0
暗房,格子里的夜晚,完本,都市,158.52,1761.48,140.87,8.6,18,    大神 ,7,702.47万,1816,89,0,0
大话秦始皇,琉璃幻月,完本,玄幻,634.04,775.05,140.62,9.1,15,    Lv.1 ,2,167.89万,388,68,0,0
诸天最强BOSS,渡红尘,完本,科幻,1238.25,785.11,140.12,8.4,172,    Lv.5 ,4,379.38万,653,38,21,0
二次元之真理之门,明镜依非台,连载,二次元,386.45,184.47,139.65,8.5,171,    Lv.4 ,2,518.39万,1013,37,273,0
霸天武圣,蛇吞鲸,完本,仙侠,298.01,821.15,139.29,9,311,    大神 ,8,1708.20万,3071,90,0,0
雷煞,隐为者,完本,游戏,115.7,938.06,139.21,2,0,    大神 ,17,2538.77万,4973,68,0,0
大宋之天子门生,夏言冰,完本,历史,258.75,135.81,138.71,8.6,35,    大神 ,2,141.19万,2416,90,0,0
我家客人你惹不起,烽火成林,完本,都市,175.14,1682.67,138.29,8.6,110,    Lv.5 ,5,310.87万,627,39,19,0
修真门派掌门路,齐可休,连载,仙侠,173.07,139.74,138.17,9.4,298,    Lv.3 ,2,227.04万,379,36,25,0
都市至强者降临,极地风刃,完本,都市,175.49,1355.7,137.2,8.4,78,    Lv.5 ,2,515.05万,617,39,59,0
帝国苍穹,天空之承,连载,历史,385.21,1189.8,136.83,7.3,3,    Lv.4 ,6,1151.41万,2985,89,10,0
彪汉,平凡心,完本,都市,19.59,48.72,136.55,7.2,2,    Lv.5 ,10,2737.50万,2829,90,0,0
网游之射破苍穹,龙大人,完本,游戏,704.18,2095.57,135.98,9.1,724,    Lv.5 ,7,983.62万,2328,90,6,0
再生在机甲帝国,歪倒,完本,科幻,298.91,163.11,135.96,7.2,7,    Lv.1 ,11,769.66万,1867,68,0,0
能源走私商,夜凉若水,完本,科幻,941.78,793.63,134.28,0,0,    Lv.4 ,6,374.54万,1699,90,0,0
盗梦宗师,国王陛下,完本,玄幻,242.82,125.28,134.09,9.1,532,    大神 ,6,915.85万,2316,90,0,0
白银之轮,悲剧山伯爵,连载,玄幻,532.25,283.95,134.05,9.3,120,    Lv.3 ,1,442.26万,1667,68,1,0
厉害了我的原始人,竹刺无锋,连载,玄幻,381.17,285.55,133.53,8.7,267,    Lv.4 ,1,148.39万,449,38,773,0
网游之帝国崛起中,吴牛喘月,完本,游戏,445.21,292.47,133.52,4.6,9,    Lv.1 ,2,169.48万,417,68,0,0
新世界1620,伯拉土,连载,历史,517.94,196.02,133.34,9,236,    Lv.2 ,1,218.60万,424,90,0,0
网游之刺客传奇,君笑羽,连载,游戏,75.27,133.56,133.07,7.2,1,    Lv.1 ,2,49.57万,125,88,0,0
掌中星际,钻石雕塑,完本,科幻,634.33,545.76,131.39,8.7,285,    Lv.1 ,1,225.74万,492,89,7,0
鉴宝大师,维果,完本,都市,19.22,262.95,131.26,9.1,165,    Lv.4 ,4,520.10万,822,91,17,0
